Student_ID,Age,Gender,Education_Level,Graduation_Year,College_Name,Course_Branch,Certification_Name,Certification_Provider,Number_of_Certifications,Internship_Company,Internship_Domain,Internship_Duration_Months,Number_of_Internships,Experience_Profile,Practical_Skill_Score,Theoretical_Score,Employer_Preference_Score,Placement_Status,Salary_Package_LPA,PPO_Conversion_Status,Time_to_Offer_Days,Primary_Skills
STU10023,22,Male,B.Sc (CS/IT),2025,IIT / NIT Group (Tier 1),Data Science & Artificial Intelligence,Microsoft Certified: Azure Developer; NPTEL Cloud Computing & Distributed Systems; Docker & Kubernetes Developer Cert,Coursera; Meta; IBM,3,None,None,0,0,Certification Only,45,92,6.4,Placed,10.04,On-Campus / Off-Campus Placement,75,"SQL, Machine Learning, System Design, Data Analysis, Problem Solving, Java, React"
STU10024,22,Female,MBA (Tech & Analytics),2024,Apex Institute of Technology (Tier 2),Computer Science & Engineering,None,None,0,Deloitte Consulting,Product & Business Analytics,3,1,Internship Only,69,42,6.1,Placed,11.95,On-Campus / Off-Campus Placement,104,"AWS, Power BI, Python, Docker, Machine Learning"
STU10025,23,Male,BCA,2025,BITS & Top National Inst (Tier 1),Data Science & Artificial Intelligence,TensorFlow Developer Certificate; Docker & Kubernetes Developer Cert; Microsoft Certified: Azure Developer,Microsoft Azure; Meta; AWS,3,CyberGuard Analytics,Data Science & Analytics,3,1,Both (Hybrid),67,93,8.9,Placed,14.99,On-Campus / Off-Campus Placement,56,"System Design, AWS, React, SQL, Machine Learning, Java, Kubernetes, Git, Tableau, Python"
STU10026,21,Male,B.Tech,2025,City Engineering College (Tier 3),Computer Science & Engineering,IBM Data Science Professional,IBM,1,None,None,0,0,Certification Only,31,49,3.4,Placed,6.54,On-Campus / Off-Campus Placement,103,"Python, System Design, Problem Solving"
STU10027,22,Female,B.Tech,2025,City Engineering College (Tier 3),Computer Science & Engineering,TensorFlow Developer Certificate; Google Professional Data Engineer,Meta; IBM,2,FinTech Solutions,Data Science & Analytics,2,1,Both (Hybrid),58,53,6.4,Placed,8.2,Internship Conversion,50,"Communication, SQL, Git, React, Tableau, Docker, Power BI, System Design"
STU10028,22,Male,B.Sc (CS/IT),2025,Apex Institute of Technology (Tier 2),Information Technology,TensorFlow Developer Certificate,IBM,1,DataMetrics Labs,Data Science & Analytics,3,2,Both (Hybrid),79,61,8.8,Placed,14.89,On-Campus / Off-Campus Placement,78,"Git, SQL, Communication, Python, Power BI, System Design, React, Tableau, Data Analysis, Java"
STU10029,21,Non-Binary,B.Tech,2024,Apex Institute of Technology (Tier 2),Computer Science & Engineering,TensorFlow Developer Certificate,Google Cloud,1,Microsoft Tech,Cloud & DevOps,3,3,Both (Hybrid),98,61,9.9,Placed,17.41,On-Campus / Off-Campus Placement,25,"System Design, SQL, Python, React, Kubernetes, Java, Machine Learning, Data Analysis, Communication, Docker"
STU10030,22,Female,B.Tech,2023,IIT / NIT Group (Tier 1),Computer Science & Engineering,Docker & Kubernetes Developer Cert; AWS Certified Solutions Architect,IBM; NPTEL,2,Google India,Software Engineering,2,2,Both (Hybrid),73,79,8.4,Placed,17.44,On-Campus / Off-Campus Placement,36,"Java, Communication, Machine Learning, Data Analysis, SQL, Tableau, Problem Solving, System Design, Python, Kubernetes"
STU10031,21,Female,BCA,2023,Regional Tech Institute (Tier 3),Information Technology,Google Professional Data Engineer; Microsoft Certified: Azure Developer; NPTEL Cloud Computing & Distributed Systems,Google Cloud; Coursera; NPTEL,4,None,None,0,0,Certification Only,24,71,5.0,Placed,6.89,On-Campus / Off-Campus Placement,82,"Python, System Design, Docker, Power BI, Machine Learning, Data Analysis, Git, SQL, Problem Solving, Kubernetes"
STU10032,21,Male,BCA,2024,City Engineering College (Tier 3),Computer Science & Engineering,None,None,0,None,None,0,0,Neither,45,23,3.2,Unplaced,0.0,Not Converted,-1,"Kubernetes, Machine Learning"
STU10033,24,Male,BCA,2025,City Engineering College (Tier 3),Computer Science & Engineering,Certified Information Systems Security Professional (CISSP); Docker & Kubernetes Developer Cert; NPTEL Cloud Computing & Distributed Systems,AWS; IBM; NPTEL,4,CyberGuard Analytics,Data Science & Analytics,3,1,Both (Hybrid),51,86,7.1,Placed,10.36,On-Campus / Off-Campus Placement,31,"React, Kubernetes, Python, Docker, Data Analysis, SQL, Tableau, Power BI, Machine Learning, Communication"
STU10034,25,Female,B.Tech,2025,Apex Institute of Technology (Tier 2),Computer Science & Engineering,Docker & Kubernetes Developer Cert; Meta Front-End Developer Specialization,Coursera; Udemy,2,None,None,0,0,Certification Only,35,66,4.0,Placed,9.28,On-Campus / Off-Campus Placement,98,"Git, Machine Learning, Python, Communication, Java, AWS"
STU10035,23,Female,B.Tech,2025,State Tech University (Tier 2),Data Science & Artificial Intelligence,Meta Front-End Developer Specialization; IBM Data Science Professional; NPTEL Cloud Computing & Distributed Systems,Udemy; Google Cloud; IBM,3,DataMetrics Labs,Product & Business Analytics,2,2,Both (Hybrid),77,66,9.4,Placed,16.53,On-Campus / Off-Campus Placement,27,"Java, Problem Solving, React, Power BI, Tableau, SQL, Docker, Git, AWS, Communication"
STU10036,22,Female,BCA,2025,City Engineering College (Tier 3),Information Technology,Docker & Kubernetes Developer Cert,Coursera,1,None,None,0,0,Certification Only,24,47,4.3,Placed,4.77,On-Campus / Off-Campus Placement,127,"AWS, Communication, Kubernetes, SQL, Git"
STU10037,21,Male,MBA (Tech & Analytics),2024,State Tech University (Tier 2),Information Technology,Microsoft Certified: Azure Developer,Coursera,1,TCS Innovation Labs,Data Science & Analytics,6,1,Both (Hybrid),69,66,7.8,Placed,12.16,On-Campus / Off-Campus Placement,75,"Docker, Communication, React, Problem Solving, Git, Machine Learning, Java"
STU10038,23,Female,B.Sc (CS/IT),2024,Apex Institute of Technology (Tier 2),Computer Science & Engineering,Meta Front-End Developer Specialization; Google Professional Data Engineer; Certified Information Systems Security Professional (CISSP),Microsoft Azure; Udemy; Meta,3,DataMetrics Labs,Software Engineering,3,1,Both (Hybrid),71,81,8.7,Placed,12.82,On-Campus / Off-Campus Placement,64,"Problem Solving, System Design, Machine Learning, Docker, Data Analysis, Java, Power BI, Communication, Git, SQL"
STU10039,22,Female,M.Tech,2024,IIT / NIT Group (Tier 1),Computer Science & Engineering,Certified Information Systems Security Professional (CISSP),IBM,1,Google India,Data Science & Analytics,6,1,Both (Hybrid),80,64,8.6,Placed,16.09,On-Campus / Off-Campus Placement,69,"React, Docker, Python, System Design, AWS, SQL, Machine Learning"
STU10040,21,Female,B.Sc (CS/IT),2023,Regional Tech Institute (Tier 3),Computer Science & Engineering,AWS Certified Solutions Architect; Coursera Machine Learning Specialization,Coursera; Google Cloud,2,Google India,Data Science & Analytics,3,2,Both (Hybrid),79,69,8.3,Placed,11.94,On-Campus / Off-Campus Placement,37,"Kubernetes, SQL, Machine Learning, Tableau, AWS, Data Analysis, Python, Problem Solving, Java, React"
STU10041,22,Female,BCA,2023,BITS & Top National Inst (Tier 1),Data Science & Artificial Intelligence,None,None,0,Infosys Center,Artificial Intelligence / ML,3,3,Internship Only,100,53,8.6,Placed,17.24,Internship Conversion,10,"AWS, Java, Problem Solving, Machine Learning, Git, Communication, SQL, React, Tableau, Power BI"
STU10042,21,Female,B.Tech,2025,BITS & Top National Inst (Tier 1),Business Analytics,None,None,0,InnovateTech Startup,Cyber Security,4,3,Internship Only,100,52,10.0,Placed,17.79,On-Campus / Off-Campus Placement,5,"Data Analysis, Java, Problem Solving, System Design, Machine Learning, Git, Python, Power BI, React, AWS"
STU10043,24,Female,BCA,2026,Apex Institute of Technology (Tier 2),Computer Science & Engineering,Meta Front-End Developer Specialization; IBM Data Science Professional,NPTEL; Google Cloud,2,Google India,Cyber Security,9,1,Both (Hybrid),81,62,8.2,Placed,13.99,On-Campus / Off-Campus Placement,74,"Git, Problem Solving, Power BI, System Design, React, Data Analysis, AWS, Communication, Tableau"
STU10044,22,Male,BCA,2023,Apex Institute of Technology (Tier 2),Computer Science & Engineering,Docker & Kubernetes Developer Cert; Microsoft Certified: Azure Developer,IBM; NPTEL,2,DataMetrics Labs,Cloud & DevOps,7,2,Both (Hybrid),93,68,9.8,Placed,16.89,On-Campus / Off-Campus Placement,21,"Tableau, Docker, AWS, React, Python, Kubernetes, Machine Learning, Git, Data Analysis, Java"
STU10045,23,Male,BCA,2023,Apex Institute of Technology (Tier 2),Computer Science & Engineering,AWS Certified Solutions Architect; TensorFlow Developer Certificate,Meta; Coursera,2,DataMetrics Labs,Cloud & DevOps,6,1,Both (Hybrid),77,78,7.8,Unplaced,0.0,Not Converted,-1,"Machine Learning, Problem Solving, Kubernetes, Python, Docker, SQL, Power BI, Data Analysis, Communication"
STU10046,22,Male,B.Tech,2025,BITS & Top National Inst (Tier 1),Information Technology,None,None,0,FinTech Solutions,Cyber Security,3,2,Internship Only,84,50,8.0,Placed,15.87,On-Campus / Off-Campus Placement,69,"AWS, Docker, Data Analysis, System Design, SQL, Java, Git"
STU10047,22,Male,BCA,2024,IIT / NIT Group (Tier 1),Information Technology,IBM Data Science Professional,NPTEL,1,Infosys Center,Product & Business Analytics,7,2,Both (Hybrid),100,62,10.0,Placed,18.75,On-Campus / Off-Campus Placement,35,"SQL, Java, System Design, Python, Kubernetes, Power BI, React, Tableau, Problem Solving"
STU10048,22,Male,B.Tech,2025,Apex Institute of Technology (Tier 2),Information Technology,Docker & Kubernetes Developer Cert,IBM,1,None,None,0,0,Certification Only,38,64,3.8,Unplaced,0.0,Not Converted,-1,"Python, Tableau, Docker"
STU10049,21,Male,BCA,2025,Regional Tech Institute (Tier 3),Electronics & Communication,Certified Information Systems Security Professional (CISSP),AWS,1,FinTech Solutions,Cloud & DevOps,4,3,Both (Hybrid),94,49,10.0,Placed,12.22,On-Campus / Off-Campus Placement,5,"Tableau, Python, Git, System Design, SQL, Power BI, Docker, Communication, React, Java"
STU10050,25,Male,B.Tech,2026,City Engineering College (Tier 3),Data Science & Artificial Intelligence,Coursera Machine Learning Specialization; AWS Certified Solutions Architect; Certified Information Systems Security Professional (CISSP),Udemy; NPTEL; Coursera,3,DataMetrics Labs,Software Engineering,6,1,Both (Hybrid),71,87,7.6,Placed,12.29,Direct PPO (Pre-Placement Offer),70,"Communication, System Design, Tableau, Power BI, Python, Data Analysis, Machine Learning, SQL, AWS, React"
STU10051,23,Male,B.Sc (CS/IT),2024,State Tech University (Tier 2),Computer Science & Engineering,Google Professional Data Engineer; Docker & Kubernetes Developer Cert; Microsoft Certified: Azure Developer,IBM; Udemy; Microsoft Azure,3,Amazon AWS,Data Science & Analytics,3,1,Both (Hybrid),75,87,7.3,Placed,13.0,On-Campus / Off-Campus Placement,31,"React, Problem Solving, Java, System Design, Docker, Tableau, Communication, Git, Kubernetes, AWS"
STU10052,24,Female,B.Tech,2025,City Engineering College (Tier 3),Computer Science & Engineering,None,None,0,Amazon AWS,Software Engineering,2,1,Internship Only,60,39,5.3,Placed,8.05,Internship Conversion,96,"Tableau, Data Analysis, Docker, System Design"
STU10053,24,Female,B.Tech,2024,State Tech University (Tier 2),Information Technology,Google Professional Data Engineer; TensorFlow Developer Certificate; Meta Front-End Developer Specialization,IBM; Meta; Coursera,3,Deloitte Consulting,Cloud & DevOps,15,2,Both (Hybrid),97,75,10.0,Placed,20.13,Direct PPO (Pre-Placement Offer),5,"Power BI, Communication, Python, Git, SQL, AWS, Kubernetes, Problem Solving, Machine Learning, Docker"
STU10054,22,Male,B.Tech,2025,State Tech University (Tier 2),Information Technology,Docker & Kubernetes Developer Cert,Udemy,1,Microsoft Tech,Software Engineering,3,2,Both (Hybrid),70,65,8.9,Placed,11.99,On-Campus / Off-Campus Placement,45,"SQL, React, Java, Communication, Git, Kubernetes, Data Analysis, System Design, Tableau, Power BI"
STU10055,24,Female,BCA,2024,State Tech University (Tier 2),Data Science & Artificial Intelligence,Meta Front-End Developer Specialization; Coursera Machine Learning Specialization,Google Cloud; Coursera,2,TCS Innovation Labs,Data Science & Analytics,11,2,Both (Hybrid),100,76,10.0,Placed,16.63,Direct PPO (Pre-Placement Offer),5,"Communication, React, Tableau, Docker, Python, AWS, Git, System Design, Java, Data Analysis"
STU10056,21,Female,B.Tech,2023,State Tech University (Tier 2),Information Technology,None,None,0,Google India,Data Science & Analytics,3,1,Internship Only,70,42,6.8,Placed,10.07,Internship Conversion,65,"Tableau, SQL, Machine Learning, AWS, Git"
STU10057,21,Male,B.Tech,2025,Apex Institute of Technology (Tier 2),Information Technology,Certified Information Systems Security Professional (CISSP); Microsoft Certified: Azure Developer,Microsoft Azure; NPTEL,2,None,None,0,0,Certification Only,43,76,5.3,Placed,9.26,On-Campus / Off-Campus Placement,110,"SQL, Git, React, Power BI, Data Analysis"
STU10058,21,Male,BCA,2025,State Tech University (Tier 2),Business Analytics,Microsoft Certified: Azure Developer,IBM,1,Amazon AWS,Data Science & Analytics,15,2,Both (Hybrid),100,57,10.0,Placed,21.79,On-Campus / Off-Campus Placement,5,"React, Kubernetes, Machine Learning, SQL, Git, Java, Problem Solving, AWS, Docker, Python"
STU10059,22,Male,B.Tech,2025,State Tech University (Tier 2),Data Science & Artificial Intelligence,Google Professional Data Engineer,Coursera,1,DataMetrics Labs,Cloud & DevOps,12,1,Both (Hybrid),83,57,9.2,Placed,16.71,Direct PPO (Pre-Placement Offer),54,"AWS, Power BI, Kubernetes, Problem Solving, System Design, Python"
STU10060,22,Female,MBA (Tech & Analytics),2025,State Tech University (Tier 2),Electronics & Communication,None,None,0,None,None,0,0,Neither,42,50,4.8,Unplaced,0.0,Not Converted,-1,"React, Docker"
STU10061,22,Female,M.Tech,2025,IIT / NIT Group (Tier 1),Computer Science & Engineering,None,None,0,None,None,0,0,Neither,36,60,4.8,Unplaced,0.0,Not Converted,-1,"SQL, Git"
STU10062,23,Male,BCA,2023,Apex Institute of Technology (Tier 2),Information Technology,None,None,0,None,None,0,0,Neither,44,46,5.7,Placed,6.0,On-Campus / Off-Campus Placement,137,"Data Analysis, SQL, Communication"
STU10063,22,Male,B.Tech,2025,BITS & Top National Inst (Tier 1),Business Analytics,Coursera Machine Learning Specialization,Google Cloud,1,DataMetrics Labs,Software Engineering,2,1,Both (Hybrid),62,61,7.7,Placed,14.93,Internship Conversion,67,"Git, SQL, Java, Data Analysis, React, Machine Learning, Kubernetes"
STU10064,22,Male,B.Sc (CS/IT),2025,BITS & Top National Inst (Tier 1),Data Science & Artificial Intelligence,None,None,0,TCS Innovation Labs,Artificial Intelligence / ML,6,1,Internship Only,68,53,7.6,Placed,15.85,Direct PPO (Pre-Placement Offer),47,"AWS, Problem Solving, SQL, Tableau"
STU10065,22,Male,B.Tech,2026,Apex Institute of Technology (Tier 2),Electronics & Communication,IBM Data Science Professional; Certified Information Systems Security Professional (CISSP),Udemy; Coursera,2,DataMetrics Labs,Software Engineering,3,2,Both (Hybrid),74,72,8.7,Placed,12.67,On-Campus / Off-Campus Placement,44,"React, Docker, Power BI, Kubernetes, Tableau, Git, Machine Learning, AWS, System Design, Java"
STU10066,21,Male,B.Tech,2026,Apex Institute of Technology (Tier 2),Information Technology,None,None,0,CyberGuard Analytics,Product & Business Analytics,3,2,Internship Only,68,60,8.4,Placed,13.05,On-Campus / Off-Campus Placement,17,"Communication, Python, Docker, Data Analysis, Kubernetes, React, Power BI, Tableau"
STU10067,23,Male,B.Tech,2023,Apex Institute of Technology (Tier 2),Computer Science & Engineering,Google Professional Data Engineer; Meta Front-End Developer Specialization,Microsoft Azure; Coursera,2,InnovateTech Startup,Cyber Security,2,2,Both (Hybrid),76,75,8.2,Placed,12.7,On-Campus / Off-Campus Placement,52,"Tableau, Java, Data Analysis, Docker, Problem Solving, Git, Kubernetes, React, SQL, Python"
STU10068,21,Female,M.Tech,2025,State Tech University (Tier 2),Data Science & Artificial Intelligence,None,None,0,Deloitte Consulting,Product & Business Analytics,3,1,Internship Only,68,53,6.8,Placed,12.87,On-Campus / Off-Campus Placement,89,"Data Analysis, Communication, Docker, Power BI, AWS"
STU10069,25,Female,B.Tech,2023,City Engineering College (Tier 3),Computer Science & Engineering,Coursera Machine Learning Specialization; TensorFlow Developer Certificate; Google Professional Data Engineer,Google Cloud; IBM; Udemy,4,Google India,Software Engineering,6,1,Both (Hybrid),70,92,8.1,Placed,11.86,Internship Conversion,25,"Data Analysis, Tableau, Machine Learning, Communication, Java, Power BI, Problem Solving, Git, System Design, Python"
STU10070,23,Male,BCA,2024,Regional Tech Institute (Tier 3),Cyber Security,TensorFlow Developer Certificate; Meta Front-End Developer Specialization; Certified Information Systems Security Professional (CISSP),Udemy; AWS; NPTEL,4,FinTech Solutions,Cloud & DevOps,6,1,Both (Hybrid),64,94,8.0,Placed,11.25,Direct PPO (Pre-Placement Offer),38,"AWS, Tableau, Java, Kubernetes, Data Analysis, Problem Solving, System Design, React, Git, Communication"
STU10071,21,Female,B.Sc (CS/IT),2025,City Engineering College (Tier 3),Electronics & Communication,TensorFlow Developer Certificate,AWS,1,None,None,0,0,Certification Only,32,47,3.7,Unplaced,0.0,Not Converted,-1,"Problem Solving, SQL, Tableau, Power BI, Machine Learning"
STU10072,21,Male,B.Tech,2023,Apex Institute of Technology (Tier 2),Computer Science & Engineering,IBM Data Science Professional; Coursera Machine Learning Specialization,IBM; AWS,2,None,None,0,0,Certification Only,39,76,5.2,Unplaced,0.0,Not Converted,-1,"Git, Problem Solving, React, AWS, Docker, System Design, Java"
STU10073,23,Male,B.Tech,2025,State Tech University (Tier 2),Computer Science & Engineering,None,None,0,FinTech Solutions,Cloud & DevOps,15,2,Internship Only,100,46,10.0,Placed,18.02,On-Campus / Off-Campus Placement,5,"Git, Python, Kubernetes, System Design, Data Analysis, Power BI, Communication, React"
STU10074,23,Male,MBA (Tech & Analytics),2023,Regional Tech Institute (Tier 3),Data Science & Artificial Intelligence,TensorFlow Developer Certificate; AWS Certified Solutions Architect; Microsoft Certified: Azure Developer,Coursera; Meta; AWS,4,None,None,0,0,Certification Only,31,100,5.4,Placed,6.32,On-Campus / Off-Campus Placement,69,"React, Problem Solving, Docker, Git, AWS, Communication, SQL, Tableau, Machine Learning"
STU10075,23,Female,BCA,2023,State Tech University (Tier 2),Computer Science & Engineering,Docker & Kubernetes Developer Cert; AWS Certified Solutions Architect,Google Cloud; Meta,2,None,None,0,0,Certification Only,39,81,4.9,Unplaced,0.0,Not Converted,-1,"Kubernetes, Communication, SQL, Docker, Problem Solving, Data Analysis, Power BI"
STU10076,23,Non-Binary,BCA,2025,BITS & Top National Inst (Tier 1),Computer Science & Engineering,None,None,0,TCS Innovation Labs,Software Engineering,6,1,Internship Only,81,54,8.3,Placed,12.72,On-Campus / Off-Campus Placement,89,"Docker, Java, Git, Power BI"
STU10077,21,Female,B.Tech,2025,State Tech University (Tier 2),Data Science & Artificial Intelligence,IBM Data Science Professional,Meta,1,CyberGuard Analytics,Software Engineering,2,2,Both (Hybrid),75,73,7.8,Placed,12.62,On-Campus / Off-Campus Placement,54,"AWS, Communication, Python, Data Analysis, Git, Java, SQL, System Design, Docker"
STU10078,22,Male,B.Tech,2026,IIT / NIT Group (Tier 1),Data Science & Artificial Intelligence,None,None,0,DataMetrics Labs,Artificial Intelligence / ML,2,2,Internship Only,78,52,7.9,Placed,15.75,On-Campus / Off-Campus Placement,35,"Problem Solving, Machine Learning, SQL, Data Analysis, System Design, Power BI, Communication, Docker, AWS"
